SPlusCode,Fullname,Store,Region,ActivityCode,IsLearned,SecondTest,Score
CE.DMX117200,117200,ĐMM_HBI_TLA - Mường Khến,Miền Bắc 1,,,0,0
CE.DMX12810,12810,ĐMM_HBI_YTH - Hàng Trạm,Miền Bắc 1,,,0,0
CE.DMX31555,31555,ĐMM_HBI_YTH - Hàng Trạm,Miền Bắc 1,,,0,0
CE.DMX40656,40656,ĐMM_HBI_YTH - Hàng Trạm,Miền Bắc 1,,,0,0
CE.DMX40753,40753,ĐMM_HBI_YTH - Hàng Trạm,Miền Bắc 1,,,0,0
CE.DMX65099,65099,ĐMM_HBI_YTH - Hàng Trạm,Miền Bắc 1,,,0,0
CE.DMX68428,68428,ĐMM_HBI_YTH - Hàng Trạm,Miền Bắc 1,,,0,0
CE.DMX73774,73774,ĐMM_HBI_YTH - Hàng Trạm,Miền Bắc 1,,,0,0
CE.DMX113648,113648,ĐMM_HBI_YTH - Hàng Trạm,Miền Bắc 1,,,0,0
CE.DMX113649,113649,ĐMM_HBI_YTH - Hàng Trạm,Miền Bắc 1,,,0,0
CE.DMX9991,9991,ĐMM_HNA_BLU - 784 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX30895,30895,ĐMM_HNA_BLU - 784 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX39009,39009,ĐMM_HNA_BLU - 784 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX50679,50679,ĐMM_HNA_BLU - 784 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX55043,55043,ĐMM_HNA_BLU - 784 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX96971,96971,ĐMM_HNA_BLU - 784 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX108160,108160,ĐMM_HNA_BLU - 784 Trần Hưng Đạo,Miền Bắc 1,,,0,0
ce.dmx24726,24726,ĐMM_HNA_DTI - Hòa Mạc,Miền Bắc 1,,,0,0
CE.DMX35996,35996,ĐMM_HNA_DTI - Hòa Mạc,Miền Bắc 1,,,0,0
ce.dmx51179,51179,ĐMM_HNA_DTI - Hòa Mạc,Miền Bắc 1,,,0,0
ce.dmx65520,65520,ĐMM_HNA_DTI - Hòa Mạc,Miền Bắc 1,,,0,0
CE.DMX87996,87996,ĐMM_HNA_DTI - Hòa Mạc,Miền Bắc 1,,,0,0
CE.DMX26175,26175,ĐMM_HNA_LNH - 68 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX32648,32648,ĐMM_HNA_LNH - 68 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX39016,39016,ĐMM_HNA_LNH - 68 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX55870,55870,ĐMM_HNA_LNH - 68 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX62021,62021,ĐMM_HNA_LNH - 68 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX71354,71354,ĐMM_HNA_LNH - 68 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX76741,76741,ĐMM_HNA_LNH - 68 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX89291,89291,ĐMM_HNA_LNH - 68 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX99904,99904,ĐMM_HNA_LNH - 68 Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX34311,34311,ĐMM_HNA_TLI - Thanh Nguyên,Miền Bắc 1,,,0,0
CE.DMX44144,44144,ĐMM_HNA_TLI - Thanh Nguyên,Miền Bắc 1,,,0,0
CE.DMX45860,45860,ĐMM_HNA_TLI - Thanh Nguyên,Miền Bắc 1,,,0,0
CE.DMX62034,62034,ĐMM_HNA_TLI - Thanh Nguyên,Miền Bắc 1,,,0,0
CE.DMX106426,106426,ĐMM_HNA_TLI - Thanh Nguyên,Miền Bắc 1,,,0,0
CE.DMX106501,106501,ĐMM_HNA_TLI - Thanh Nguyên,Miền Bắc 1,,,0,0
